P0,   American College of Rheumatology - ACR Member
P0,   Osteoarthritis Research Society International Member
P0,   International Association for the Study of Pain Member
P1,   American College of Rheumatology - ACR Fellow
P1,   American College of Physicians - ACP Fellow
P2,   American College of Rheumatology - ACR Fellow
P3,   American College of Rheumatology - ACR Member
P3,   American College of Radiology - ACR Master Member
P4,   Alpha Omega Alpha Honor Medical Society - AOA Member
P4,   American College of Rheumatology - ACR Fellow
P4,   American College of Physicians - ACP Fellow
P6,   American College of Physicians - ACP Member
P6,   American College of Rheumatology - ACR Fellow
P7,     American College of Physicians - ACP Fellow
P7,"
  American College of Rheumatology - ACR Fellow"
P8,   American College of Rheumatology - ACR Fellow
P9,   American College of Rheumatology - ACR Fellow
