Name,Qualification,Experinence,Location,Specialty,Availability,Main-Location
Dr. Pradeep Kawatra,"MBBS, MD
            32 years experience
  ","MBBS, MD
            32 years experience
  ",Delhi - Delhi,Internal Medicine,Mon to Sat - 2:00 PM to 3:30 PM,delhi
Dr. D.K. Das,"MBBS, MS
            19 years experience
  ","MBBS, MS
            19 years experience
  ",Delhi - Delhi,Orthopaedics,"Mon, Wed & Fri - 12:00 PM to 2:00 PM",delhi
Dr. Jotinder Khanna,"MBBS, MS 
            17 Years years experience
  ","MBBS, MS 
            17 Years years experience
  ",Delhi - Delhi,General Surgery,Wed & Sat - 10: 00 AM to 12 :00 PM,delhi
Ms. Shraddha Banerjee,"M.Phil 
            5  years experience
  ","M.Phil 
            5  years experience
  ",Delhi - Delhi,Clinical Psychology,Tue & Sat - 2:00 PM to 5:00 PM,delhi
Dr Anjali  Sharma,"BDS, MDS 
            9  years experience
/ Dentist,/ Endodontist  ","BDS, MDS 
            9  years experience
/ Dentist,/ Endodontist  ",Delhi - Delhi,Dental Surgeon,Mon to Sat - 9:00 AM to 6:00 PM,delhi
Ms. Sreeja De,"M.Phil
            10 years experience
  ","M.Phil
            10 years experience
  ",Delhi - Delhi,Clinical Psychology,"Mon, Wed, & Fri - 3:00 PM to 6:00 PM",delhi
Dr. Pankaj Walecha,"MBBS, MS 
            14 years experience
  ","MBBS, MS 
            14 years experience
  ",Delhi - Delhi,Orthopaedic Surgeon,Mon to Sat - 11:00 AM to 3:00 PM,delhi
Dr. Ashwani Maichand,"MBBS,MS 
            32 years experience
  ","MBBS,MS 
            32 years experience
  ",Delhi - Delhi,Orthopaedic Surgeon,Mon & Wed - 10:00 AM to 3:00 PM,delhi
Dr. Vijayant Govinda Gupta,"MBBS,MS,MCh
            6 years experience
  ","MBBS,MS,MCh
            6 years experience
  ",Delhi - Delhi,Urologist & Andrologist,Tue & Thur - 12:00 PM to 3:00 PM,delhi
Dr. Digvijay Sharma,"MBBS, MS
            21 years experience
  ","MBBS, MS
            21 years experience
  ",Delhi - Delhi,Vascular Surgeon,WED: 09:00 AM - 11:00 AM,delhi
Dr. Pradeep Kawatra,"MBBS, MD
            32 years experience
  ","MBBS, MD
            32 years experience
  ",Delhi - Delhi,Internal Medicine,Mon to Sat - 2:00 PM to 3:30 PM,delhi
Dr. D.K. Das,"MBBS, MS
            19 years experience
  ","MBBS, MS
            19 years experience
  ",Delhi - Delhi,Orthopaedics,"Mon, Wed & Fri - 12:00 PM to 2:00 PM",delhi
Dr. Jotinder Khanna,"MBBS, MS 
            17 Years years experience
  ","MBBS, MS 
            17 Years years experience
  ",Delhi - Delhi,General Surgery,Wed & Sat - 10: 00 AM to 12 :00 PM,delhi
Ms. Shraddha Banerjee,"M.Phil 
            5  years experience
  ","M.Phil 
            5  years experience
  ",Delhi - Delhi,Clinical Psychology,Tue & Sat - 2:00 PM to 5:00 PM,delhi
Dr Anjali  Sharma,"BDS, MDS 
            9  years experience
/ Dentist,/ Endodontist  ","BDS, MDS 
            9  years experience
/ Dentist,/ Endodontist  ",Delhi - Delhi,Dental Surgeon,Mon to Sat - 9:00 AM to 6:00 PM,delhi
Ms. Sreeja De,"M.Phil
            10 years experience
  ","M.Phil
            10 years experience
  ",Delhi - Delhi,Clinical Psychology,"Mon, Wed, & Fri - 3:00 PM to 6:00 PM",delhi
Dr. Pankaj Walecha,"MBBS, MS 
            14 years experience
  ","MBBS, MS 
            14 years experience
  ",Delhi - Delhi,Orthopaedic Surgeon,Mon to Sat - 11:00 AM to 3:00 PM,delhi
Dr. Ashwani Maichand,"MBBS,MS 
            32 years experience
  ","MBBS,MS 
            32 years experience
  ",Delhi - Delhi,Orthopaedic Surgeon,Mon & Wed - 10:00 AM to 3:00 PM,delhi
Dr. Vijayant Govinda Gupta,"MBBS,MS,MCh
            6 years experience
  ","MBBS,MS,MCh
            6 years experience
  ",Delhi - Delhi,Urologist & Andrologist,Tue & Thur - 12:00 PM to 3:00 PM,delhi
Dr. Digvijay Sharma,"MBBS, MS
            21 years experience
  ","MBBS, MS
            21 years experience
  ",Delhi - Delhi,Vascular Surgeon,WED: 09:00 AM - 11:00 AM,delhi
Dr. Abhishek Bansal,"M.S., D.N.B., M.R.C.S.
            15 years experience
  ","M.S., D.N.B., M.R.C.S.
            15 years experience
  ",Delhi - Delhi,Orthopaedics & Joint Replacement,Wed & Fri 10am -12noon,delhi
Dr. Ashwani Kumar,"DNB, MBBS
            9 years experience
  ","DNB, MBBS
            9 years experience
  ",Delhi - Delhi,"ENT, Allergy, Cochlear Implant And Head & Neck Surgery",Fri - 1:00 PM to 3:00 PM,delhi
Dr. Manu Saksena,"MBBS,PG Diploma in  and Venereology 
            33  years experience
  ","MBBS,PG Diploma in  and Venereology 
            33  years experience
  ",Delhi - Delhi,Dermatology,Mon to Sat - 5 PM to 7 PM,delhi
Dr. Biren Nadkarni,"MCh,MS,MBBS
            16 years experience
  ","MCh,MS,MBBS
            16 years experience
  ",Delhi - Delhi,Orthopaedics & Joint Replacement,Tue & Fri – 12:00PM to 2:00PM,delhi
Dr. Ruchi Tandon,"MBBS, MS, ACG
            10 years experience
  ","MBBS, MS, ACG
            10 years experience
  ",Delhi - Delhi,Gynecologist Laparoscopic Surgeon & Cosmetic Gynecologist,"Tuesday 1.30-3.30 PM, Thursday 1.30-3.30PM, Friday 1.30-3.30PM",delhi
DR. Puja Sharma,"M.B.B.S, M.D. (Obstet & Gynae)
            11 years experience
/ Obstetrician  ","M.B.B.S, M.D. (Obstet & Gynae)
            11 years experience
/ Obstetrician  ",Delhi - Delhi,Gynaecologist,"Mon, Wed & Fri : 9.00 AM to 10.30 AM",delhi
